name,type,img_url,relaxed,happy,euphoric,uplifted,sleepy,creative,energetic,focused,hungry,terpene_profile
GG4,Hybrid,https://images.leafly.com/flower-images/gg-4.jpg,66.0,54.0,51.0,39.0,27.0,0.0,0.0,0.0,0.0,"La cepa GG4, también conocida como Gorilla Glue, tiene un perfil de terpenos dominado por el mirceno, que le proporciona un aroma terroso y herbal. También contiene limoneno, que aporta un toque cítrico y vigorizante. Estos terpenos se han asociado con propiedades relajantes, analgésicas y antiinflamatorias, lo que hace que la cepa GG4 sea popular para uso medicinal."
Wedding Cake,Hybrid,https://images.leafly.com/flower-images/wedding-cake.jpg,60.0,50.0,41.0,35.0,0.0,0.0,0.0,0.0,23.0,"La cepa Wedding Cake tiene un perfil de terpenos dominado principalmente por el limoneno y el mirceno. Estos terpenos contribuyen a su aroma cítrico y afrutado, con toques de vainilla y especias. El limoneno le otorga propiedades energizantes y estimulantes, mientras que el mirceno aporta efectos relajantes y antiinflamatorios. En conjunto, el perfil de terpenos de la Wedding Cake ofrece un equilibrio entre efectos cerebrales y corporales, lo que la hace popular en el ámbito medicinal para el alivio del estrés, la ansiedad y el dolor."
Runtz,Hybrid,https://images.leafly.com/flower-images/runtz-nug-image.jpg,47.0,62.0,48.0,43.0,0.0,0.0,0.0,0.0,0.0,"La cepa Runtz es conocida por su perfil de terpenos rico en limoneno, mirceno y linalool. El limoneno aporta un aroma cítrico y es conocido por sus propiedades energizantes y antiestrés. El mirceno es responsable de un aroma terroso y tiene propiedades relajantes y sedantes. El linalool aporta un aroma floral y posee propiedades calmantes y antiinflamatorias. En conjunto, estos terpenos ofrecen un perfil aromático agradable y un efecto equilibrado en el ámbito medicinal."
Gelato,Hybrid,https://images.leafly.com/flower-images/gelato.jpg,54.0,49.0,46.0,37.0,0.0,27.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Gelato se caracteriza por tener un aroma dulce y afrutado, con matices de bayas y cítricos. Los terpenos predominantes en Gelato son el limoneno, el mirceno y el beta-cariofileno. El limoneno le proporciona un aroma cítrico y estimulante, mientras que el mirceno le da un toque terroso y relajante. El beta-cariofileno le brinda propiedades antiinflamatorias y calmantes. En general, el perfil de terpenos de Gelato es conocido por su capacidad para relajar el cuerpo y la mente, aliviando el estrés y la tensión."
Blue Dream,Hybrid,https://images.leafly.com/flower-images/blue-dream.png,48.0,57.0,52.0,48.0,0.0,37.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Blue Dream se caracteriza por ser dominado por el terpeno conocido como mirceno, el cual aporta un aroma y sabor dulce y terroso. También contiene terpinoleno, que proporciona un aroma fresco y herbal, y limoneno, que aporta un toque cítrico y brillante. Estos terpenos se cree que contribuyen a los efectos relajantes y eufóricos de la cepa, y se han asociado con propiedades analgésicas, antiinflamatorias y antidepresivas."
Purple Punch,Indica,https://images.leafly.com/flower-images/purple-punch-fixed.jpg,70.0,47.0,40.0,26.0,39.0,0.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Purple Punch se caracteriza por tener un aroma y sabor dulce y afrutado, con notas de uvas y bayas. Los terpenos principales presentes en esta cepa suelen ser el mirceno, que tiene propiedades relajantes y antiinflamatorias; el limoneno, que aporta un efecto energizante y mejora el estado de ánimo; y el linalool, que contribuye a un efecto calmante y sedante. En general, la combinación de terpenos de Purple Punch produce un efecto relajante, ideal para combatir el estrés, la ansiedad y el insomnio."
Ice Cream Cake,Indica,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,75.0,50.0,42.0,29.0,40.0,0.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Ice Cream Cake tiene un aroma y sabor dulce y cremoso, con matices de vainilla y galleta. Destaca por su contenido de linalool, que le aporta propiedades relajantes y calmantes, y por su nivel significativo de limoneno, que le otorga cualidades energizantes y ayuda a aliviar el estrés. También contiene caryophyllene, proporcionando propiedades antiinflamatorias y antioxidantes. En conjunto, estos terpenos ofrecen un efecto relajante y eufórico, ideal para el manejo del estrés, el dolor y los trastornos del estado de ánimo."
GSC,Hybrid,https://images.leafly.com/flower-images/gsc.png,55.0,60.0,52.0,45.0,0.0,33.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa GSC (Girl Scout Cookies) se caracteriza por tener una combinación de terpenos que le otorgan un aroma dulce y terroso, con notas de menta y especias. Los terpenos más comunes presentes en esta cepa son el limoneno, el mirceno y el beta-cariofileno, que contribuyen a sus efectos relajantes y eufóricos."
OG Kush,Hybrid,https://images.leafly.com/flower-images/og-kush.png,52.0,56.0,50.0,38.0,0.0,0.0,0.0,0.0,30.0,"El perfil de terpenos de la cepa OG Kush se caracteriza por ser rico en limoneno, mirceno y beta-cariofileno. Estos terpenos le otorgan a la OG Kush un aroma cítrico y terroso, con notas de pino y especias. El limoneno le aporta propiedades energizantes y antiinflamatorias, mientras que el mirceno contribuye a un efecto relajante y sedante. El beta-cariofileno tiene propiedades antiinflamatorias y analgésicas, lo que hace que la OG Kush sea una opción popular para aliviar el estrés, el dolor y los trastornos del sueño."
Sour Diesel,Sativa,https://images.leafly.com/flower-images/sour-diesel.jpg,0.0,57.0,49.0,50.0,0.0,38.0,45.0,0.0,0.0,"La cepa Sour Diesel tiene un perfil de terpenos distintivo y tiene un fuerte aroma a combustible y limón. Sus terpenos principales incluyen el limoneno, que le da ese característico aroma cítrico, el mirceno, que le agrega notas terrosas y herbáceas, y el beta-cariofileno, que contribuye a su ligero toque especiado. Estos terpenos se han asociado con propiedades estimulantes, euforia y alivio del estrés, por lo que la Sour Diesel se considera una cepa energizante y adecuada para el uso durante el día."
Zkittlez,Indica,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,54.0,39.0,30.0,27.0,21.0,0.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Zkittlez se caracteriza por ser dulce, afrutado y con notas cítricas. Los terpenos que predominan en esta variedad son el limoneno, el mirceno y el linalool. Estos compuestos le brindan a la Zkittlez un aroma y sabor distintivos, que recuerdan a una mezcla de caramelos y frutas tropicales. Además de sus propiedades organolépticas, estos terpenos también pueden proporcionar beneficios terapéuticos, como alivio del estrés y la ansiedad."
Sherbert,Hybrid,https://images.leafly.com/flower-images/sunset-sherbert.jpg,59.0,50.0,43.0,37.0,0.0,24.0,0.0,0.0,0.0,"La cepa Sherbert es conocida por su perfil de terpenos dulces y afrutados. Contiene altos niveles de terpenos como el mirceno, limoneno y cariofileno, que le otorgan un aroma y sabor a limón, frutas tropicales y especias. Estos terpenos también se asocian con propiedades medicinales como alivio del estrés, ansiedad y dolor, así como propiedades antiinflamatorias y antioxidantes. En general, el perfil de terpenos de la cepa Sherbert la convierte en una opción popular para aquellos que buscan un efecto relajante y edificante acompañado de un agradable aroma y sabor."
Granddaddy Purple,Indica,https://images.leafly.com/flower-images/granddaddy-purple.png,56.0,44.0,42.0,0.0,46.0,0.0,0.0,0.0,31.0,"Granddaddy Purple es una cepa conocida por su potente perfil de terpenos. Los terpenos dominantes en esta cepa son el mirceno, el pineno y el cariofileno. El mirceno aporta un aroma a tierra y a musgo, y se cree que tiene propiedades relajantes y sedantes. El pineno, por otro lado, tiene un aroma a pino y puede mejorar el enfoque y la claridad mental. El cariofileno, con su aroma a especias, tiene propiedades antiinflamatorias y analgésicas. En general, el perfil de terpenos de Granddaddy Purple combina notas terrosas, amaderadas y especiadas, brindando al usuario una experiencia relajante y calmante."
Mimosa,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,38.0,51.0,0.0,50.0,0.0,0.0,41.0,37.0,0.0,"El perfil de terpenos de la cepa Mimosa suele incluir terpenos como el limoneno, el beta-cariofileno y el linalool. Estos terpenos le dan a la cepa un aroma cítrico y dulce, con toques terrosos y especiados. El limoneno proporciona una sensación energizante y aumenta el estado de ánimo, mientras que el beta-cariofileno tiene propiedades antiinflamatorias y analgésicas. El linalool, por su parte, tiene efectos relajantes y ayuda a aliviar el estrés y la ansiedad. En conjunto, estos terpenos contribuyen a los posibles beneficios medicinales de la cepa, como el alivio de la depresión, el estrés y el dolor."
Do-Si-Dos,Indica,https://images.leafly.com/flower-images/do-si-dos.jpg,65.0,40.0,41.0,27.0,31.0,0.0,0.0,0.0,0.0,"La cepa Do-Si-Dos tiene un perfil de terpenos bastante complejo. Los terpenos dominantes en esta cepa son el beta-cariofileno, el limoneno y el mirceno. El beta-cariofileno le da a esta cepa un aroma y sabor terroso y especiado, mientras que el limoneno le agrega notas cítricas y el mirceno le da un toque herbal y terroso. Además de estos terpenos principales, Do-Si-Dos también puede contener otros terpenos en cantidades menores, como el pineno y el linalool. En general, el perfil de terpenos de esta cepa contribuye a su efecto relajante y sedante, lo que la hace popular en el ámbito medicinal para tratar el estrés y el insomnio."
Jack Herer,Sativa,https://images.leafly.com/flower-images/jack-herer.jpg,0.0,54.0,46.0,50.0,0.0,41.0,45.0,0.0,0.0,"El perfil de terpenos de la cepa Jack Herer es conocido por ser terroso, especiado y cítrico. Los terpenos dominantes en esta cepa incluyen el limoneno, el pineno y el mirceno, que le dan un aroma distintivo a pino y limón. Estos terpenos se asocian con propiedades antiinflamatorias, analgésicas y estimulantes, lo que puede contribuir a su popularidad como cepa medicinal."
White Widow,Hybrid,https://images.leafly.com/flower-images/white-widow.png,42.0,57.0,53.0,49.0,0.0,36.0,0.0,0.0,0.0,"La cepa White Widow es conocida por tener un perfil de terpenos característico que le da un aroma terroso y cítrico. Los terpenos dominantes en esta cepa son el beta-cariofileno, limoneno y mirceno. El beta-cariofileno le da a White Widow un toque picante, mientras que el limoneno le añade notas cítricas y refrescantes. El mirceno, por su parte, aporta un aroma terroso. Estos terpenos se han asociado con propiedades medicinales, como efectos analgésicos, antiinflamatorios y relajantes."
Pineapple Express,Hybrid,https://images.leafly.com/flower-images/pineapple-express.png,37.0,60.0,44.0,47.0,0.0,0.0,39.0,0.0,0.0,"La cepa Pineapple Express tiene un perfil de terpenos dominado principalmente por el mirceno, el terpinoleno y el pineno. Estos terpenos le otorgan a la cepa un aroma terroso y afrutado, similar al aroma de una piña madura. Además, el mirceno presente en esta cepa le brinda propiedades relajantes y antiinflamatorias, mientras que el terpinoleno y el pineno contribuyen a su efecto energético y estimulante. En general, el perfil de terpenos de Pineapple Express contribuye a sus potenciales beneficios medicinales, como el alivio del estrés y la depresión, así como también un aumento de la creatividad y la concentración."
GMO Cookies,Indica,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,70.0,46.0,48.0,34.0,27.0,0.0,0.0,0.0,0.0,"La cepa GMO Cookies tiene un perfil de terpenos dominado por el limoneno, el mirceno y el beta-cariofileno. Estos terpenos le otorgan un aroma y sabor distintivo, con notas cítricas, terrosas y especiadas. El limoneno aporta un toque cítrico y refrescante, mientras que el mirceno añade notas terrosas y herbales. El beta-cariofileno contribuye con su aroma especiado y también tiene propiedades antiinflamatorias. En conjunto, estos terpenos pueden ofrecer beneficios medicinales como alivio del estrés, reducción de la ansiedad y propiedades analgésicas."
Green Crack,Sativa,https://images.leafly.com/flower-images/green-crack.png,0.0,54.0,43.0,53.0,0.0,0.0,60.0,40.0,0.0,"Green Crack es una cepa de cannabis que se caracteriza por su aroma y sabor cítrico y dulce. Su perfil de terpenos está dominado por el limoneno, que le da el aroma a limón y contribuye a su efecto energizante y estimulante. También se encuentran terpenos como el mirceno, que le aportan un toque terroso y herbal, y el pineno, que le otorga un aroma a pino y propiedades antiinflamatorias. En general, el perfil de terpenos de Green Crack es ideal para el uso diurno y para combatir los síntomas de fatiga y estrés."
Bubba Kush,Indica,https://images.leafly.com/flower-images/bubba-kush.png,61.0,48.0,44.0,0.0,49.0,0.0,0.0,0.0,33.0,"La cepa Bubba Kush es conocida por tener un perfil de terpenos predominantemente terpinoleno, mirceno y beta-cariofileno. Estos terpenos le otorgan a la cepa un aroma y sabor dulce, terroso y especiado. Además, se cree que estos terpenos pueden tener propiedades sedantes y relajantes, lo que la convierte en una opción popular para el alivio del estrés y el insomnio."
Northern Lights,Indica,https://images.leafly.com/flower-images/northern-lights.png,60.0,51.0,48.0,31.0,39.0,0.0,0.0,0.0,0.0,"La cepa Northern Lights tiene un perfil de terpenos característico que se compone principalmente de limoneno, mirceno y pineno. Estos terpenos le brindan a la cepa un aroma terroso, afrutado y cítrico. El limoneno aporta un aroma a limón y proporciona propiedades antiinflamatorias y antimicrobianas. El mirceno, por su parte, le da a Northern Lights un aroma a hierbas y tiene efectos relajantes y sedantes. Por último, el pineno le agrega un toque de aromas a pino y menta, y tiene propiedades energizantes y antifúngicas. En conjunto, este perfil de terpenos se considera adecuado para el uso medicinal en tratamiento de insomnio, dolor crónico y estrés."
Durban Poison,Sativa,https://images.leafly.com/flower-images/durban-poison.jpg,0.0,49.0,44.0,54.0,0.0,39.0,54.0,0.0,0.0,"La cepa Durban Poison es conocida por tener un perfil de terpenos dominado principalmente por el pineno y el terpinoleno. Estos terpenos le proporcionan a la cepa un aroma y sabor distintivos, con notas cítricas, especiadas y terrosas. El pineno es conocido por sus propiedades energizantes y promotoras de la concentración, mientras que el terpinoleno puede promover efectos relajantes y antifúngicos. En general, el perfil de terpenos de Durban Poison contribuye a su reputación como una cepa estimulante y eufórica, ideal para aumentar la motivación y combatir el estrés y la fatiga."
Sundae Driver,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,55.0,52.0,33.0,41.0,0.0,0.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Sundae Driver se caracteriza por ser dulce y afrutado. Contiene terpenos como el limoneno, que le aporta un aroma cítrico y refrescante, y el mirceno, que le da un toque terroso y herbal. Estos terpenos se asocian con propiedades relajantes y analgésicas, lo que hace de Sundae Driver una opción popular en el ámbito medicinal."
MAC,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,69.0,65.0,54.0,48.0,0.0,27.0,0.0,0.0,0.0,"La cepa MAC (Miracle Alien Cookies) es conocida por su perfil de terpenos compuesto principalmente por limoneno, mirceno y linalool. Estos terpenos le dan a MAC un aroma cítrico y terroso, con notas de limón y lavanda. El limoneno le brinda un aroma y sabor a limón, mientras que el mirceno aporta notas terrosas y el linalool añade un toque floral y relajante. Este perfil de terpenos puede tener propiedades analgésicas, antiinflamatorias y sedantes, lo que hace que la cepa MAC sea popular en el ámbito medicinal."
Cherry Pie,Hybrid,https://images.leafly.com/flower-images/cherry-pie.jpg,57.0,57.0,48.0,42.0,0.0,27.0,0.0,0.0,0.0,"La cepa Cherry Pie es conocida por tener un perfil de terpenos particularmente delicioso y aromático. Sus terpenos principales incluyen el mirceno, cariofileno y limoneno. El mirceno aporta un aroma a tierra y notas herbales, mientras que el cariofileno contribuye con tonos especiados y de pimienta. El limoneno, como su nombre lo indica, aporta un aroma a limón y cítricos. Esta combinación de terpenos da a Cherry Pie un sabor dulce, afrutado y agradable. En términos de efectos medicinales, se ha demostrado que estos terpenos tienen propiedades antiinflamatorias, analgésicas y relajantes, lo que hace que Cherry Pie sea una opción popular para el alivio del estrés, la ansiedad y el dolor."
Chemdawg,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,47.0,52.0,52.0,44.0,0.0,31.0,0.0,0.0,0.0,"La cepa Chemdawg es conocida por su perfil de terpenos fuerte y distintivo. Es una cepa dominante en terpeno llamado beta-cariofileno, que tiene un aroma picante y terroso. También contiene otros terpenos como el limoneno, que proporciona un aroma cítrico, y el pineno, que tiene un aroma a pino. Estos terpenos se cree que contribuyen a los efectos relajantes y eufóricos de la cepa Chemdawg."
Mac 1,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,34.0,36.0,41.0,31.0,0.0,0.0,24.0,0.0,0.0,"La cepa Mac 1 tiene un perfil de terpenos que destaca por su alta concentración de limoneno, seguido de cerca por el mirceno y el beta-cariofileno. Estos terpenos le confieren a la cepa un aroma cítrico y terroso, con notas de pino y especias. Los terpenos presentes en la Mac 1 también se han asociado con propiedades medicinales como la reducción del estrés y la ansiedad, así como propiedades antiinflamatorias y analgésicas."
Wedding Crasher,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,56.0,57.0,39.0,45.0,0.0,0.0,0.0,33.0,0.0,"La cepa Wedding Crasher tiene un perfil de terpenos dominado por el limoneno, mirceno y cariofileno. Esto le da a la cepa un aroma cítrico y dulce con sutiles notas terrosas y especiadas. Estos terpenos también pueden proporcionar efectos relajantes, antiinflamatorios y analgésicos, lo que la convierte en una opción popular para aliviar el estrés, el dolor y la ansiedad."
SFV OG,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,52.0,53.0,45.0,42.0,0.0,29.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa SFV OG incluye una combinación de limoneno, mirceno y beta-cariofileno. Estos terpenos proporcionan un aroma y sabor cítrico, terroso y leñoso. Además, también se le atribuyen propiedades medicinales como la capacidad para aliviar el estrés y promover la relajación."
Slurricane,Indica,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,67.0,47.0,36.0,27.0,33.0,0.0,0.0,0.0,0.0,"La cepa Slurricane es conocida por su perfil de terpenos terrosos, dulces y afrutados. Contiene altos niveles de terpenos como el mirceno, el limoneno y el cariofileno, que le añaden un aroma distintivo a la hierba. Estos terpenos también se asocian con propiedades relajantes, analgésicas y antiinflamatorias, lo que hace de la cepa Slurricane una opción popular en el ámbito medicinal."
Amnesia Haze,Sativa,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,0.0,62.0,55.0,51.0,0.0,36.0,37.0,0.0,0.0,"La cepa Amnesia Haze es conocida por su perfil de terpenos complejo y distintivo. Esta cepa suele tener altos niveles de terpenos como el limoneno, que le da un aroma cítrico y energizante, y el pineno, que tiene un aroma a pino y puede tener propiedades antiinflamatorias. También es común encontrar terpinoleno en la Amnesia Haze, que contribuye a su sabor herbal y puede tener propiedades sedantes. En general, el perfil de terpenos de la Amnesia Haze puede ofrecer una experiencia cerebral y energizante, pero también puede ser relajante y calmante."
Stardawg,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,52.0,60.0,47.0,47.0,0.0,0.0,0.0,32.0,0.0,"La cepa Stardawg es conocida por tener un perfil de terpenos dominado por el pineno, el limoneno y el mirceno. Estos terpenos le otorgan a la cepa un aroma cítrico y terroso, con notas de pino. Además, se ha observado que el pineno puede tener propiedades antiinflamatorias y analgésicas, el limoneno puede tener propiedades ansiolíticas y el mirceno puede tener propiedades relajantes y sedantes. En conjunto, el perfil de terpenos de la Stardawg podría potencialmente ofrecer beneficios medicinales en el alivio del estrés, la ansiedad y el dolor."
Strawberry Cough,Sativa,https://images.leafly.com/flower-images/strawberry-cough.png,35.0,55.0,46.0,50.0,0.0,0.0,37.0,0.0,0.0,"La cepa Strawberry Cough se caracteriza por tener un perfil de terpenos dominado por el mirceno, que le confiere un aroma dulce y afrutado, con notas de fresas maduras. También contiene limoneno, que aporta un toque cítrico y energizante, y cariofileno, que proporciona un aroma especiado y terroso. Estos terpenos en conjunto pueden tener propiedades analgésicas, antiinflamatorias y pueden ayudar a reducir el estrés y mejorar el estado de ánimo."
Cereal Milk,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,60.0,47.0,34.0,30.0,0.0,0.0,0.0,23.0,0.0,"La cepa Cereal Milk es conocida por su perfil de terpenos que combina sabores dulces y cremosos con toques terrosos y amaderados. Contiene altos niveles de los terpenos mirceno, limoneno y beta-cariofileno, lo que le da un aroma a cereal con notas cítricas y especiadas. Estos terpenos también son conocidos por sus propiedades relajantes y analgésicas, lo que hace que la cepa Cereal Milk sea popular en el ámbito medicinal para tratar el estrés, el dolor y la ansiedad."
Bruce Banner,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,48.0,55.0,54.0,46.0,0.0,37.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Bruce Banner se caracteriza por ser rico en terpinoleno, que le proporciona un aroma a flores frescas y cítricas. También contiene beta-cariofileno, que aporta un toque especiado y terroso. Estos terpenos se han asociado con propiedades relajantes y analgésicas, lo que hace que la cepa Bruce Banner sea popular en el ámbito medicinal."
Gushers,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,38.0,32.0,24.0,18.0,0.0,0.0,0.0,14.0,0.0,"La cepa Gushers es conocida por su perfil de terpenos que combina características dulces, afrutadas y terrosas. Los terpenos más prominentes en esta variedad incluyen el limoneno, mirceno y cariofileno. Estos terpenos le confieren un aroma a frutas maduras, como uvas y arándanos, junto con notas terrosas y especiadas. Además de su agradable aroma, se cree que los terpenos presentes en Gushers pueden tener propiedades terapéuticas, como la reducción del estrés y la inflamación."
Biscotti,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,55.0,44.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Biscotti es conocido por ser principalmente dominado por el terpenoocimeno, seguido de cerca por el limoneno y el mirceno. Estos terpenos son conocidos por sus propiedades medicinales, como la capacidad de aliviar el estrés, proporcionar un efecto relajante y tener propiedades analgésicas. Además, los terpenos presentes en la cepa Biscotti también pueden tener propiedades antiinflamatorias y antioxidantes. En general, el perfil de terpenos de Biscotti se considera muy beneficioso en el ámbito medicinal."
Lava Cake,Hybrid,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,67.0,34.0,37.0,34.0,0.0,0.0,0.0,0.0,31.0,"La cepa Lava Cake tiene un perfil de terpenos rico y complejo. Está dominada por el terpeno limoneno, que le da un aroma cítrico y refrescante. También contiene cantidades significativas de los terpenos beta-cariofileno y linalool, que contribuyen a sus propiedades antiinflamatorias y calmantes. En general, el perfil de terpenos de Lava Cake es conocido por su equilibrio entre efectos relajantes y energizantes, lo que la convierte en una opción popular en el ámbito medicinal."
Trainwreck,Hybrid,https://images.leafly.com/flower-images/trainwreck.png,37.0,50.0,55.0,46.0,0.0,32.0,0.0,0.0,0.0,"La cepa Trainwreck tiene un perfil de terpenos compuesto principalmente por mirceno, pineno y limoneno. Estos terpenos le proporcionan un aroma terroso, cítrico y herbal, con notas de pino. Además de su aroma distintivo, estos terpenos también pueden tener propiedades medicinales, como propiedades antiinflamatorias, analgésicas y relajantes."
Mendo Breath,Indica,https://wtsyxqoghnsuzhzzppip.supabase.co/storage/v1/object/public/cepas/cepanodisponible.png?t=2024-01-24T22%3A29%3A35.361Z,75.0,51.0,43.0,28.0,45.0,0.0,0.0,0.0,0.0,"El perfil de terpenos de la cepa Mendo Breath se caracteriza por su alta presencia de humuleno, limoneno y mirceno. Estos terpenos le otorgan un aroma cítrico y terroso, con toques de notas de madera y pino. Además, le confieren propiedades terapéuticas como efectos relajantes, analgésicos y antiinflamatorios."
Cookies and Cream,Hybrid,https://images.leafly.com/flower-images/WYY8ukOLRAuW8pdX2fVr_COOKIES%20&%20CREAM-181-edited.jpg,64.0,60.0,49.0,45.0,0.0,27.0,0.0,0.0,0.0,"La cepa Cookies and Cream es conocida por tener un perfil de terpenos principalmente compuesto por limoneno, mirceno y beta-cariofileno. Estos terpenos le confieren un aroma y sabor dulce con notas cítricas y terrosas. El limoneno proporciona un aroma cítrico y estimulante, mientras que el mirceno aporta un aroma herbal y relajante. El beta-cariofileno, por su parte, contribuye con notas especiadas y terrosas. En conjunto, estos terpenos brindan propiedades medicinales como alivio del estrés, relajación y potencial antiinflamatorio."
